"ensembl_gene_id","external_gene_name","description"
"ENSMUSG00000079606","Gm595","predicted gene 595 [Source:MGI Symbol;Acc:MGI:2685441]"
"ENSMUSG00000069170","Adgrv1","adhesion G protein-coupled receptor V1 [Source:MGI Symbol;Acc:MGI:1274784]"
"ENSMUSG00000031972","Acta1","actin, alpha 1, skeletal muscle [Source:MGI Symbol;Acc:MGI:87902]"
"ENSMUSG00000047875","Gpr157","G protein-coupled receptor 157 [Source:MGI Symbol;Acc:MGI:2442046]"
"ENSMUSG00000046790","Olfr1341","olfactory receptor 1341 [Source:MGI Symbol;Acc:MGI:3031175]"
"ENSMUSG00000045655","Fam216b","family with sequence similarity 216, member B [Source:MGI Symbol;Acc:MGI:2145738]"
"ENSMUSG00000001666","Ddt","D-dopachrome tautomerase [Source:MGI Symbol;Acc:MGI:1298381]"
"ENSMUSG00000067847","Romo1","reactive oxygen species modulator 1 [Source:MGI Symbol;Acc:MGI:1914317]"
"ENSMUSG00000030017","Reg3g","regenerating islet-derived 3 gamma [Source:MGI Symbol;Acc:MGI:109406]"
"ENSMUSG00000042349","Ikbke","inhibitor of kappaB kinase epsilon [Source:MGI Symbol;Acc:MGI:1929612]"
"ENSMUSG00000053510","Nrd1","nardilysin, N-arginine dibasic convertase, NRD convertase 1 [Source:MGI Symbol;Acc:MGI:1201386]"
"ENSMUSG00000067561","",""
"ENSMUSG00000074123","7420426K07Rik","RIKEN cDNA 7420426K07 gene [Source:MGI Symbol;Acc:MGI:3588253]"
"ENSMUSG00000040084","Bub1b","BUB1B, mitotic checkpoint serine/threonine kinase [Source:MGI Symbol;Acc:MGI:1333889]"
"ENSMUSG00000025283","Sat1","spermidine/spermine N1-acetyl transferase 1 [Source:MGI Symbol;Acc:MGI:98233]"
"ENSMUSG00000096734","Gm21836","predicted gene, 21836 [Source:MGI Symbol;Acc:MGI:5434000]"
"ENSMUSG00000020079","Supv3l1","suppressor of var1, 3-like 1 (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:2441711]"
"ENSMUSG00000020720","Psmd12","proteasome (prosome, macropain) 26S subunit, non-ATPase, 12 [Source:MGI Symbol;Acc:MGI:1914247]"
"ENSMUSG00000079608","Stard6","StAR-related lipid transfer (START) domain containing 6 [Source:MGI Symbol;Acc:MGI:2156774]"
"ENSMUSG00000046041","Olfr803","olfactory receptor 803 [Source:MGI Symbol;Acc:MGI:3030637]"
"ENSMUSG00000050248","Evc2","Ellis van Creveld syndrome 2 [Source:MGI Symbol;Acc:MGI:1915775]"
"ENSMUSG00000040482","Dxo","decapping exoribonuclease [Source:MGI Symbol;Acc:MGI:1890444]"
"ENSMUSG00000001175","Calm1","calmodulin 1 [Source:MGI Symbol;Acc:MGI:88251]"
"ENSMUSG00000024325","Ring1","ring finger protein 1 [Source:MGI Symbol;Acc:MGI:1101770]"
"ENSMUSG00000052058","Olfr901","olfactory receptor 901 [Source:MGI Symbol;Acc:MGI:3030735]"
"ENSMUSG00000071073","Lrrc73","leucine rich repeat containing 73 [Source:MGI Symbol;Acc:MGI:2684934]"
"ENSMUSG00000031168","Ebp","phenylalkylamine Ca2+ antagonist (emopamil) binding protein [Source:MGI Symbol;Acc:MGI:107822]"
"ENSMUSG00000002010","Idh3g","isocitrate dehydrogenase 3 (NAD+), gamma [Source:MGI Symbol;Acc:MGI:1099463]"
"ENSMUSG00000008845","Cd163","CD163 antigen [Source:MGI Symbol;Acc:MGI:2135946]"
"ENSMUSG00000032125","Robo4","roundabout guidance receptor 4 [Source:MGI Symbol;Acc:MGI:1921394]"
"ENSMUSG00000032220","Myo1e","myosin IE [Source:MGI Symbol;Acc:MGI:106621]"
"ENSMUSG00000090747","Esp8","exocrine gland secreted peptide 8 [Source:MGI Symbol;Acc:MGI:4937129]"
"ENSMUSG00000019971","Cep290","centrosomal protein 290 [Source:MGI Symbol;Acc:MGI:2384917]"
"ENSMUSG00000054091","1810037I17Rik","RIKEN cDNA 1810037I17 gene [Source:MGI Symbol;Acc:MGI:1914954]"
"ENSMUSG00000079677","Fdx1l","ferredoxin 1-like [Source:MGI Symbol;Acc:MGI:1915415]"
"ENSMUSG00000052026","Slc6a7","solute carrier family 6 (neurotransmitter transporter, L-proline), member 7 [Source:MGI Symbol;Acc:MGI:2147363]"
"ENSMUSG00000021032","Ngb","neuroglobin [Source:MGI Symbol;Acc:MGI:2151886]"
"ENSMUSG00000003873","Bax","BCL2-associated X protein [Source:MGI Symbol;Acc:MGI:99702]"
"ENSMUSG00000071169","Defb46","defensin beta 46 [Source:MGI Symbol;Acc:MGI:3646525]"
"ENSMUSG00000074746","Pdzd8","PDZ domain containing 8 [Source:MGI Symbol;Acc:MGI:2677270]"
"ENSMUSG00000000359","Rem1","rad and gem related GTP binding protein 1 [Source:MGI Symbol;Acc:MGI:1097696]"
"ENSMUSG00000038781","Stap2","signal transducing adaptor family member 2 [Source:MGI Symbol;Acc:MGI:2147039]"
"ENSMUSG00000071037","Camkmt","calmodulin-lysine N-methyltransferase [Source:MGI Symbol;Acc:MGI:1920832]"
"ENSMUSG00000033453","Adamts15","a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 15 [Source:MGI Symbol;Acc:MGI:2449569]"
"ENSMUSG00000015083","C8g","complement component 8, gamma polypeptide [Source:MGI Symbol;Acc:MGI:88237]"
"ENSMUSG00000003762","Coq8b","coenzyme Q8B [Source:MGI Symbol;Acc:MGI:1924139]"
"ENSMUSG00000026649","Cfap126","cilia and flagella associated protein 126 [Source:MGI Symbol;Acc:MGI:1922722]"
"ENSMUSG00000049498","Olfr1449","olfactory receptor 1449 [Source:MGI Symbol;Acc:MGI:3031283]"
"ENSMUSG00000041797","Abca9","ATP-binding cassette, sub-family A (ABC1), member 9 [Source:MGI Symbol;Acc:MGI:2386796]"
"ENSMUSG00000044819","Oxgr1","oxoglutarate (alpha-ketoglutarate) receptor 1 [Source:MGI Symbol;Acc:MGI:2685145]"
"ENSMUSG00000035342","Lzts2","leucine zipper, putative tumor suppressor 2 [Source:MGI Symbol;Acc:MGI:2385095]"
"ENSMUSG00000096370","Gm21992","predicted gene 21992 [Source:MGI Symbol;Acc:MGI:5439461]"
"ENSMUSG00000036968","Cnpy4","canopy FGF signaling regulator 4 [Source:MGI Symbol;Acc:MGI:1913705]"
"ENSMUSG00000075271","Ttc30a1","tetratricopeptide repeat domain 30A1 [Source:MGI Symbol;Acc:MGI:1926052]"
"ENSMUSG00000034793","G6pc3","glucose 6 phosphatase, catalytic, 3 [Source:MGI Symbol;Acc:MGI:1915651]"
"ENSMUSG00000000594","Gm2a","GM2 ganglioside activator protein [Source:MGI Symbol;Acc:MGI:95762]"
"ENSMUSG00000014776","Nol3","nucleolar protein 3 (apoptosis repressor with CARD domain) [Source:MGI Symbol;Acc:MGI:1925938]"
"ENSMUSG00000032239","Rp9","retinitis pigmentosa 9 (human) [Source:MGI Symbol;Acc:MGI:2157166]"
"ENSMUSG00000022525","Hrasls","HRAS-like suppressor [Source:MGI Symbol;Acc:MGI:1351473]"
"ENSMUSG00000034430","Zxdc","ZXD family zinc finger C [Source:MGI Symbol;Acc:MGI:1933108]"
"ENSMUSG00000019732","Calr3","calreticulin 3 [Source:MGI Symbol;Acc:MGI:1920566]"
"ENSMUSG00000049643","2310022A10Rik","RIKEN cDNA 2310022A10 gene [Source:MGI Symbol;Acc:MGI:1913617]"
"ENSMUSG00000026142","Rhbdd1","rhomboid domain containing 1 [Source:MGI Symbol;Acc:MGI:1924117]"
"ENSMUSG00000025400","Tac2","tachykinin 2 [Source:MGI Symbol;Acc:MGI:98476]"
"ENSMUSG00000018914","Il3","interleukin 3 [Source:MGI Symbol;Acc:MGI:96552]"
"ENSMUSG00000013921","Clip3","CAP-GLY domain containing linker protein 3 [Source:MGI Symbol;Acc:MGI:1923936]"
"ENSMUSG00000034429","Zfp707","zinc finger protein 707 [Source:MGI Symbol;Acc:MGI:1916270]"
"ENSMUSG00000043541","Casc1","cancer susceptibility candidate 1 [Source:MGI Symbol;Acc:MGI:2444480]"
"ENSMUSG00000019297","Nop9","NOP9 nucleolar protein [Source:MGI Symbol;Acc:MGI:1915092]"
"ENSMUSG00000009356","Lpo","lactoperoxidase [Source:MGI Symbol;Acc:MGI:1923363]"
"ENSMUSG00000026425","Srgap2","SLIT-ROBO Rho GTPase activating protein 2 [Source:MGI Symbol;Acc:MGI:109605]"
"ENSMUSG00000015354","Pcolce2","procollagen C-endopeptidase enhancer 2 [Source:MGI Symbol;Acc:MGI:1923727]"
"ENSMUSG00000036391","Sec24a","Sec24 related gene family, member A (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1924621]"
"ENSMUSG00000021703","Serinc5","serine incorporator 5 [Source:MGI Symbol;Acc:MGI:2444223]"
"ENSMUSG00000025289","Prdx4","peroxiredoxin 4 [Source:MGI Symbol;Acc:MGI:1859815]"
"ENSMUSG00000078276","Gm14190","predicted gene 14190 [Source:MGI Symbol;Acc:MGI:3651811]"
"ENSMUSG00000045896","Paip2b","poly(A) binding protein interacting protein 2B [Source:MGI Symbol;Acc:MGI:2386865]"
"ENSMUSG00000027863","Cd2","CD2 antigen [Source:MGI Symbol;Acc:MGI:88320]"
"ENSMUSG00000067438","Hmx1","H6 homeobox 1 [Source:MGI Symbol;Acc:MGI:107178]"
"ENSMUSG00000022557","Bop1","block of proliferation 1 [Source:MGI Symbol;Acc:MGI:1334460]"
"ENSMUSG00000027202","Slc12a1","solute carrier family 12, member 1 [Source:MGI Symbol;Acc:MGI:103150]"
"ENSMUSG00000024979","Tectb","tectorin beta [Source:MGI Symbol;Acc:MGI:109574]"
"ENSMUSG00000053841","Txlna","taxilin alpha [Source:MGI Symbol;Acc:MGI:105968]"
"ENSMUSG00000022678","Nde1","nudE neurodevelopment protein 1 [Source:MGI Symbol;Acc:MGI:1914453]"
"ENSMUSG00000061815","Rufy4","RUN and FYVE domain containing 4 [Source:MGI Symbol;Acc:MGI:3588214]"
"ENSMUSG00000016528","Mapkapk2","MAP kinase-activated protein kinase 2 [Source:MGI Symbol;Acc:MGI:109298]"
"ENSMUSG00000044556","Tex38","testis expressed 38 [Source:MGI Symbol;Acc:MGI:1922423]"
"ENSMUSG00000026159","Agfg1","ArfGAP with FG repeats 1 [Source:MGI Symbol;Acc:MGI:1333754]"
"ENSMUSG00000021607","Mrpl36","mitochondrial ribosomal protein L36 [Source:MGI Symbol;Acc:MGI:2137228]"
"ENSMUSG00000045471","Hcrt","hypocretin [Source:MGI Symbol;Acc:MGI:1202306]"
"ENSMUSG00000032481","Smarcc1","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1 [Source:MGI Symbol;Acc:MGI:1203524]"
"ENSMUSG00000030509","Asb7","ankyrin repeat and SOCS box-containing 7 [Source:MGI Symbol;Acc:MGI:2152835]"
"ENSMUSG00000044309","Apol7c","apolipoprotein L 7c [Source:MGI Symbol;Acc:MGI:1920912]"
"ENSMUSG00000041912","Tdrkh","tudor and KH domain containing protein [Source:MGI Symbol;Acc:MGI:1919884]"
"ENSMUSG00000020238","Ncln","nicalin [Source:MGI Symbol;Acc:MGI:1926081]"
"ENSMUSG00000033526","Ppip5k1","diphosphoinositol pentakisphosphate kinase 1 [Source:MGI Symbol;Acc:MGI:2443281]"
"ENSMUSG00000038991","Txndc5","thioredoxin domain containing 5 [Source:MGI Symbol;Acc:MGI:2145316]"
"ENSMUSG00000028944","Prkag2","protein kinase, AMP-activated, gamma 2 non-catalytic subunit [Source:MGI Symbol;Acc:MGI:1336153]"
"ENSMUSG00000017176","Nt5c3b","5'-nucleotidase, cytosolic IIIB [Source:MGI Symbol;Acc:MGI:1915356]"
"ENSMUSG00000079169","Gm15130","predicted gene 15130 [Source:MGI Symbol;Acc:MGI:3705238]"
"ENSMUSG00000024269","Tpgs2","tubulin polyglutamylase complex subunit 2 [Source:MGI Symbol;Acc:MGI:1913898]"
"ENSMUSG00000042460","C1galt1","core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase, 1 [Source:MGI Symbol;Acc:MGI:2151071]"
"ENSMUSG00000017837","Nkiras2","NFKB inhibitor interacting Ras-like protein 2 [Source:MGI Symbol;Acc:MGI:1919216]"
"ENSMUSG00000044748","Defb1","defensin beta 1 [Source:MGI Symbol;Acc:MGI:1096878]"
"ENSMUSG00000044465","Fam160a2","family with sequence similarity 160, member A2 [Source:MGI Symbol;Acc:MGI:1921599]"
"ENSMUSG00000015652","Steap1","six transmembrane epithelial antigen of the prostate 1 [Source:MGI Symbol;Acc:MGI:1917608]"
"ENSMUSG00000026587","Astn1","astrotactin 1 [Source:MGI Symbol;Acc:MGI:1098567]"
"ENSMUSG00000026516","Nvl","nuclear VCP-like [Source:MGI Symbol;Acc:MGI:1914709]"
"ENSMUSG00000025981","Coq10b","coenzyme Q10B [Source:MGI Symbol;Acc:MGI:1915126]"
"ENSMUSG00000112920","Spata22","spermatogenesis associated 22 [Source:MGI Symbol;Acc:MGI:2685728]"
"ENSMUSG00000030847","Bag3","BCL2-associated athanogene 3 [Source:MGI Symbol;Acc:MGI:1352493]"
"ENSMUSG00000040407","Akap9","A kinase (PRKA) anchor protein (yotiao) 9 [Source:MGI Symbol;Acc:MGI:2178217]"
"ENSMUSG00000055560","Zfp459","zinc finger protein 459 [Source:MGI Symbol;Acc:MGI:3040701]"
"ENSMUSG00000029427","Zcchc8","zinc finger, CCHC domain containing 8 [Source:MGI Symbol;Acc:MGI:1917900]"
"ENSMUSG00000094858","Olfr1297","olfactory receptor 1297 [Source:MGI Symbol;Acc:MGI:3031131]"
"ENSMUSG00000036167","Pphln1","periphilin 1 [Source:MGI Symbol;Acc:MGI:1917029]"
"ENSMUSG00000047562","",""
"ENSMUSG00000020464","Pnpt1","polyribonucleotide nucleotidyltransferase 1 [Source:MGI Symbol;Acc:MGI:1918951]"
"ENSMUSG00000040372","Gpr63","G protein-coupled receptor 63 [Source:MGI Symbol;Acc:MGI:2135884]"
"ENSMUSG00000048163","Selplg","selectin, platelet (p-selectin) ligand [Source:MGI Symbol;Acc:MGI:106689]"
"ENSMUSG00000060499","Rpl10l","ribosomal protein L10-like [Source:MGI Symbol;Acc:MGI:3647985]"
"ENSMUSG00000031143","Ccdc22","coiled-coil domain containing 22 [Source:MGI Symbol;Acc:MGI:1859608]"
"ENSMUSG00000075156","Olfr1128","olfactory receptor 1128 [Source:MGI Symbol;Acc:MGI:3030962]"
"ENSMUSG00000028451","1700022I11Rik","RIKEN cDNA 1700022I11 gene [Source:MGI Symbol;Acc:MGI:1914567]"
"ENSMUSG00000039903","Eva1c","eva-1 homolog C (C. elegans) [Source:MGI Symbol;Acc:MGI:1918217]"
"ENSMUSG00000038957","Edc3","enhancer of mRNA decapping 3 [Source:MGI Symbol;Acc:MGI:2142951]"
"ENSMUSG00000005968","Tuft1","tuftelin 1 [Source:MGI Symbol;Acc:MGI:109572]"
"ENSMUSG00000050141","Fam205c","family with sequence similarity 205, member C [Source:MGI Symbol;Acc:MGI:2679716]"
"ENSMUSG00000030647","Ndufc2","NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 2 [Source:MGI Symbol;Acc:MGI:1344370]"
"ENSMUSG00000040883","Tmem205","transmembrane protein 205 [Source:MGI Symbol;Acc:MGI:3045495]"
"ENSMUSG00000031754","Nudt21","nudix (nucleoside diphosphate linked moiety X)-type motif 21 [Source:MGI Symbol;Acc:MGI:1915469]"
"ENSMUSG00000015095","Fbxw5","F-box and WD-40 domain protein 5 [Source:MGI Symbol;Acc:MGI:1354731]"
"ENSMUSG00000003378","Grik5","glutamate receptor, ionotropic, kainate 5 (gamma 2) [Source:MGI Symbol;Acc:MGI:95818]"
"ENSMUSG00000061540","Orm2","orosomucoid 2 [Source:MGI Symbol;Acc:MGI:97444]"
"ENSMUSG00000035184","Fam124a","family with sequence similarity 124, member A [Source:MGI Symbol;Acc:MGI:3645930]"
"ENSMUSG00000030685","Kctd13","potassium channel tetramerisation domain containing 13 [Source:MGI Symbol;Acc:MGI:1923739]"
"ENSMUSG00000048636","A730049H05Rik","RIKEN cDNA A730049H05 gene [Source:MGI Symbol;Acc:MGI:1921766]"
"ENSMUSG00000087444","Gm5475","predicted gene 5475 [Source:MGI Symbol;Acc:MGI:3646320]"
"ENSMUSG00000060568","Fam78b","family with sequence similarity 78, member B [Source:MGI Symbol;Acc:MGI:2443050]"
"ENSMUSG00000027346","Gpcpd1","glycerophosphocholine phosphodiesterase 1 [Source:MGI Symbol;Acc:MGI:104898]"
"ENSMUSG00000022893","Adamts1","a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 1 [Source:MGI Symbol;Acc:MGI:109249]"
"ENSMUSG00000060863","Tcl1b2","T cell leukemia/lymphoma 1B, 2 [Source:MGI Symbol;Acc:MGI:1351609]"
"ENSMUSG00000022445","Cyp2d26","cytochrome P450, family 2, subfamily d, polypeptide 26 [Source:MGI Symbol;Acc:MGI:1923529]"
"ENSMUSG00000098132","Rassf10","Ras association (RalGDS/AF-6) domain family (N-terminal) member 10 [Source:MGI Symbol;Acc:MGI:1925998]"
"ENSMUSG00000021055","Esr2","estrogen receptor 2 (beta) [Source:MGI Symbol;Acc:MGI:109392]"
"ENSMUSG00000044134","Fam109a","family with sequence similarity 109, member A [Source:MGI Symbol;Acc:MGI:2442708]"
"ENSMUSG00000058624","Gda","guanine deaminase [Source:MGI Symbol;Acc:MGI:95678]"
"ENSMUSG00000025141","Myadml2","myeloid-associated differentiation marker-like 2 [Source:MGI Symbol;Acc:MGI:1915765]"
"ENSMUSG00000019828","Grm1","glutamate receptor, metabotropic 1 [Source:MGI Symbol;Acc:MGI:1351338]"
"ENSMUSG00000030873","Scnn1b","sodium channel, nonvoltage-gated 1 beta [Source:MGI Symbol;Acc:MGI:104696]"
"ENSMUSG00000008438","Adam21","a disintegrin and metallopeptidase domain 21 [Source:MGI Symbol;Acc:MGI:1861229]"
"ENSMUSG00000023977","Ubr2","ubiquitin protein ligase E3 component n-recognin 2 [Source:MGI Symbol;Acc:MGI:1861099]"
"ENSMUSG00000027579","Srms","src-related kinase lacking C-terminal regulatory tyrosine and N-terminal myristylation sites [Source:MGI Symbol;Acc:MGI:101865]"
"ENSMUSG00000052727","Map1b","microtubule-associated protein 1B [Source:MGI Symbol;Acc:MGI:1306778]"
"ENSMUSG00000028528","Dnajc6","DnaJ heat shock protein family (Hsp40) member C6 [Source:MGI Symbol;Acc:MGI:1919935]"
"ENSMUSG00000033313","Fbxl8","F-box and leucine-rich repeat protein 8 [Source:MGI Symbol;Acc:MGI:1354697]"
"ENSMUSG00000032827","Ppp1r9a","protein phosphatase 1, regulatory (inhibitor) subunit 9A [Source:MGI Symbol;Acc:MGI:2442401]"
"ENSMUSG00000035621","Midn","midnolin [Source:MGI Symbol;Acc:MGI:1890222]"
"ENSMUSG00000028980","H6pd","hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase) [Source:MGI Symbol;Acc:MGI:2140356]"
"ENSMUSG00000075528","Aarsd1","alanyl-tRNA synthetase domain containing 1 [Source:MGI Symbol;Acc:MGI:1916934]"
"ENSMUSG00000064156","Prol1","proline rich, lacrimal 1 [Source:MGI Symbol;Acc:MGI:107496]"
"ENSMUSG00000101303","",""
"ENSMUSG00000028948","Nol9","nucleolar protein 9 [Source:MGI Symbol;Acc:MGI:1921285]"
"ENSMUSG00000103523","2210017I01Rik","RIKEN cDNA 2210017I01 gene [Source:MGI Symbol;Acc:MGI:3588251]"
"ENSMUSG00000029438","Bcl7a","B cell CLL/lymphoma 7A [Source:MGI Symbol;Acc:MGI:1924295]"
"ENSMUSG00000036941","Elac1","elaC ribonuclease Z 1 [Source:MGI Symbol;Acc:MGI:1890495]"
"ENSMUSG00000042046","Dstyk","dual serine/threonine and tyrosine protein kinase [Source:MGI Symbol;Acc:MGI:1925064]"
"ENSMUSG00000042548","Asxl1","additional sex combs like 1 [Source:MGI Symbol;Acc:MGI:2684063]"
"ENSMUSG00000030930","Chst15","carbohydrate (N-acetylgalactosamine 4-sulfate 6-O) sulfotransferase 15 [Source:MGI Symbol;Acc:MGI:1924840]"
"ENSMUSG00000024883","Rin1","Ras and Rab interactor 1 [Source:MGI Symbol;Acc:MGI:2385695]"
"ENSMUSG00000032174","Icam5","intercellular adhesion molecule 5, telencephalin [Source:MGI Symbol;Acc:MGI:109430]"
"ENSMUSG00000029075","Tnfrsf4","tumor necrosis factor receptor superfamily, member 4 [Source:MGI Symbol;Acc:MGI:104512]"
"ENSMUSG00000078507","Aadacl3","arylacetamide deacetylase-like 3 [Source:MGI Symbol;Acc:MGI:2685281]"
"ENSMUSG00000027374","Mrps5","mitochondrial ribosomal protein S5 [Source:MGI Symbol;Acc:MGI:1924971]"
"ENSMUSG00000020256","Aldh1l2","aldehyde dehydrogenase 1 family, member L2 [Source:MGI Symbol;Acc:MGI:2444680]"
"ENSMUSG00000032921","Odf4","outer dense fiber of sperm tails 4 [Source:MGI Symbol;Acc:MGI:2182079]"
"ENSMUSG00000035992","Fnip1","folliculin interacting protein 1 [Source:MGI Symbol;Acc:MGI:2444668]"
"ENSMUSG00000037143","",""
"ENSMUSG00000022602","Arc","activity regulated cytoskeletal-associated protein [Source:MGI Symbol;Acc:MGI:88067]"
"ENSMUSG00000047564","Krtap3-1","keratin associated protein 3-1 [Source:MGI Symbol;Acc:MGI:1916723]"
"ENSMUSG00000049809","Krtap9-3","keratin associated protein 9-3 [Source:MGI Symbol;Acc:MGI:1922836]"
"ENSMUSG00000074215","Gm10643","predicted gene 10643 [Source:MGI Symbol;Acc:MGI:3642507]"
"ENSMUSG00000038482","Tfdp1","transcription factor Dp 1 [Source:MGI Symbol;Acc:MGI:101934]"
"ENSMUSG00000082101","Slfn14","schlafen 14 [Source:MGI Symbol;Acc:MGI:2684866]"
"ENSMUSG00000049538","Adamts16","a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 16 [Source:MGI Symbol;Acc:MGI:2429637]"
"ENSMUSG00000075136","Olfr1164","olfactory receptor 1164 [Source:MGI Symbol;Acc:MGI:3030998]"
"ENSMUSG00000040629","Mael","maelstrom spermatogenic transposon silencer [Source:MGI Symbol;Acc:MGI:2138453]"
"ENSMUSG00000056214","Pard6g","par-6 family cell polarity regulator gamma [Source:MGI Symbol;Acc:MGI:2135606]"
"ENSMUSG00000051038","Rhox11","reproductive homeobox 11 [Source:MGI Symbol;Acc:MGI:2681831]"
"ENSMUSG00000062524","Ncr1","natural cytotoxicity triggering receptor 1 [Source:MGI Symbol;Acc:MGI:1336212]"
"ENSMUSG00000049008","BB014433","expressed sequence BB014433 [Source:MGI Symbol;Acc:MGI:2142823]"
"ENSMUSG00000060427","Zfp868","zinc finger protein 868 [Source:MGI Symbol;Acc:MGI:2142546]"
"ENSMUSG00000042367","Gjb3","gap junction protein, beta 3 [Source:MGI Symbol;Acc:MGI:95721]"
"ENSMUSG00000023995","Tspo2","translocator protein 2 [Source:MGI Symbol;Acc:MGI:1917276]"
"ENSMUSG00000020728","Cep112","centrosomal protein 112 [Source:MGI Symbol;Acc:MGI:1923673]"
"ENSMUSG00000023263","9530002B09Rik","RIKEN cDNA 9530002B09 gene [Source:MGI Symbol;Acc:MGI:1924682]"
"ENSMUSG00000038642","Ctss","cathepsin S [Source:MGI Symbol;Acc:MGI:107341]"
"ENSMUSG00000034127","Tspan8","tetraspanin 8 [Source:MGI Symbol;Acc:MGI:2384918]"
"ENSMUSG00000049037","Clec4a1","C-type lectin domain family 4, member a1 [Source:MGI Symbol;Acc:MGI:3036291]"
"ENSMUSG00000051182","Olfr655","olfactory receptor 655 [Source:MGI Symbol;Acc:MGI:3030489]"
"ENSMUSG00000037470","Uggt1","UDP-glucose glycoprotein glucosyltransferase 1 [Source:MGI Symbol;Acc:MGI:2443162]"
"ENSMUSG00000058207","Serpina3k","serine (or cysteine) peptidase inhibitor, clade A, member 3K [Source:MGI Symbol;Acc:MGI:98377]"
"ENSMUSG00000073735","Defb18","defensin beta 18 [Source:MGI Symbol;Acc:MGI:3648148]"
"ENSMUSG00000091174","Gm17677","predicted gene, 17677 [Source:MGI Symbol;Acc:MGI:4937311]"
"ENSMUSG00000041845","Rhod","ras homolog family member D [Source:MGI Symbol;Acc:MGI:108446]"
"ENSMUSG00000008658","Rbfox1","RNA binding protein, fox-1 homolog (C. elegans) 1 [Source:MGI Symbol;Acc:MGI:1926224]"
"ENSMUSG00000058897","Col25a1","collagen, type XXV, alpha 1 [Source:MGI Symbol;Acc:MGI:1924268]"
"ENSMUSG00000018900","Slc22a5","solute carrier family 22 (organic cation transporter), member 5 [Source:MGI Symbol;Acc:MGI:1329012]"
"ENSMUSG00000040964","Arhgef10l","Rho guanine nucleotide exchange factor (GEF) 10-like [Source:MGI Symbol;Acc:MGI:1920004]"
"ENSMUSG00000078796","Zfp541","zinc finger protein 541 [Source:MGI Symbol;Acc:MGI:3647699]"
"ENSMUSG00000015994","Fnta","farnesyltransferase, CAAX box, alpha [Source:MGI Symbol;Acc:MGI:104683]"
"ENSMUSG00000066652","Lefty2","left-right determination factor 2 [Source:MGI Symbol;Acc:MGI:2443573]"
"ENSMUSG00000021840","Mapk1ip1l","mitogen-activated protein kinase 1 interacting protein 1-like [Source:MGI Symbol;Acc:MGI:2444022]"
"ENSMUSG00000032067","Pts","6-pyruvoyl-tetrahydropterin synthase [Source:MGI Symbol;Acc:MGI:1338783]"
"ENSMUSG00000035109","Shc4","SHC (Src homology 2 domain containing) family, member 4 [Source:MGI Symbol;Acc:MGI:2655364]"
"ENSMUSG00000020890","Gucy2e","guanylate cyclase 2e [Source:MGI Symbol;Acc:MGI:105123]"
"ENSMUSG00000042863","Olfr1026","olfactory receptor 1026 [Source:MGI Symbol;Acc:MGI:3030860]"
"ENSMUSG00000078958","Atp6ap1l","ATPase, H+ transporting, lysosomal accessory protein 1-like [Source:MGI Symbol;Acc:MGI:3648665]"
"ENSMUSG00000020399","Havcr2","hepatitis A virus cellular receptor 2 [Source:MGI Symbol;Acc:MGI:2159682]"
"ENSMUSG00000022472","Desi1","desumoylating isopeptidase 1 [Source:MGI Symbol;Acc:MGI:106313]"
"ENSMUSG00000061039","Olfr920","olfactory receptor 920 [Source:MGI Symbol;Acc:MGI:3030754]"
"ENSMUSG00000036078","Sigmar1","sigma non-opioid intracellular receptor 1 [Source:MGI Symbol;Acc:MGI:1195268]"
"ENSMUSG00000031273","Col4a6","collagen, type IV, alpha 6 [Source:MGI Symbol;Acc:MGI:2152695]"
"ENSMUSG00000037487","Ubr5","ubiquitin protein ligase E3 component n-recognin 5 [Source:MGI Symbol;Acc:MGI:1918040]"
"ENSMUSG00000094553","Vmn1r50","vomeronasal 1 receptor 50 [Source:MGI Symbol;Acc:MGI:2148515]"
"ENSMUSG00000043398","Gpr135","G protein-coupled receptor 135 [Source:MGI Symbol;Acc:MGI:2676315]"
"ENSMUSG00000054555","Adam12","a disintegrin and metallopeptidase domain 12 (meltrin alpha) [Source:MGI Symbol;Acc:MGI:105378]"
"ENSMUSG00000073494","Sh2d1b2","SH2 domain containing 1B2 [Source:MGI Symbol;Acc:MGI:3622649]"
"ENSMUSG00000070546","Mrgprb3","MAS-related GPR, member B3 [Source:MGI Symbol;Acc:MGI:3033117]"
"ENSMUSG00000003190","Bcl2l12","BCL2-like 12 (proline rich) [Source:MGI Symbol;Acc:MGI:1922986]"
"ENSMUSG00000023923","Tbc1d5","TBC1 domain family, member 5 [Source:MGI Symbol;Acc:MGI:1919488]"
"ENSMUSG00000072718","",""
"ENSMUSG00000051879","Krt71","keratin 71 [Source:MGI Symbol;Acc:MGI:1861586]"
